perro,fecha,min_reposo,min_calma,min_activo,min_intenso,min_sin_datos,min_otros,ladridos_total,ladridos_franjas,ladridos_max_30min,fc_media,fc_min,fc_max,fc_n,fr_media,fr_min,fr_max,fr_n,temp_disp_media,temp_disp_max,dia_semana,es_finde,mes
cherry,2026-04-24,964.1166666666636,56.7666666666661,111.39999999999786,0.0,306.96666666667204,0.75,84.0,9.0,31.0,57.76119402985075,51.0,96.0,67.0,9.961832061068701,6.0,25.0,131.0,26.857142857142858,32,Friday,False,4
cherry,2026-04-25,1086.2333333333327,40.54999999999989,88.46666666666545,0.0,224.21666666666965,0.5333333333333333,3.0,3.0,1.0,57.5,52.0,70.0,50.0,9.441747572815533,7.0,21.0,206.0,23.6,30,Saturday,True,4
cherry,2026-04-26,1042.7999999999993,40.06666666666665,88.84999999999876,0.0,267.2500000000042,1.0333333333333334,34.0,12.0,10.0,55.23728813559322,50.0,72.0,59.0,9.62937062937063,5.0,21.0,143.0,32.0,35,Sunday,True,4
cherry,2026-04-27,848.566666666667,52.89999999999953,121.7666666666641,0.0,416.36666666667276,0.39999999999999997,96.0,17.0,22.0,60.32,51.0,140.0,50.0,9.587786259541986,6.0,24.0,131.0,28.25,33,Monday,False,4
cherry,2026-04-28,982.5333333333313,49.66666666666635,101.69999999999834,0.0,305.28333333333876,0.8166666666666667,266.0,11.0,112.0,59.311688311688314,51.0,135.0,77.0,10.801369863013699,5.0,21.0,146.0,27.9,32,Tuesday,False,4
cherry,2026-04-29,1032.5499999999981,47.083333333333066,113.09999999999792,0.0,246.51666666667103,0.75,76.0,7.0,70.0,56.472727272727276,51.0,88.0,55.0,10.071641791044776,6.0,19.0,335.0,24.0,33,Wednesday,False,4
cherry,2026-04-30,1045.7999999999977,48.066666666666336,99.83333333333178,0.0,245.35000000000423,0.95,246.0,8.0,207.0,58.723404255319146,51.0,130.0,47.0,9.517241379310345,5.0,27.0,232.0,29.0,35,Thursday,False,4
cherry,2026-05-01,908.7666666666648,59.766666666666,114.2999999999976,0.0,356.85000000000633,0.31666666666666665,69.0,13.0,19.0,58.08510638297872,51.0,96.0,47.0,10.393939393939394,5.0,32.0,198.0,28.0,32,Friday,False,5
cherry,2026-05-02,974.5499999999977,51.91666666666616,124.86666666666396,0.0,288.21666666667346,0.44999999999999996,161.0,7.0,73.0,55.654545454545456,51.0,84.0,55.0,9.56060606060606,6.0,20.0,198.0,28.2,32,Saturday,True,5
cherry,2026-05-03,1006.1166666666653,51.31666666666622,114.86666666666437,0.0,267.0500000000048,0.65,84.0,10.0,38.0,56.84285714285714,51.0,80.0,70.0,9.81081081081081,6.0,20.0,222.0,26.8,33,Sunday,True,5
cherry,2026-05-04,909.3499999999964,56.96666666666601,121.54999999999734,0.0,351.5166666666725,0.6166666666666667,355.0,15.0,82.0,58.22222222222222,51.0,92.0,63.0,9.515837104072398,5.0,32.0,221.0,23.0,30,Monday,False,5
cherry,2026-05-05,981.1333333333318,57.583333333332696,105.98333333333149,0.0,294.9500000000059,0.35,169.0,15.0,62.0,60.43478260869565,51.0,84.0,69.0,9.585714285714285,5.0,18.0,210.0,26.5,31,Tuesday,False,5
